job_id,machine_id,op_seq,A_lj,S_lj,C_lj,planned_C_lj,tidal_wait,PELABUHAN_LOGIS,congestion_wait,total_wait
14,13,5,234.0,234.0,240.0,239.0,0.0,SEMARANG,0.0,0.0
14,65,6,247.0,247.0,267.0,266.0,0.0,KARIMUN JAWA,0.0,0.0
14,13,7,273.0,273.0,276.0,275.0,0.0,SEMARANG,0.0,0.0
14,59,8,309.0,309.0,328.0,327.0,0.0,SAMPIT,0.0,0.0
14,4,9,357.0,357.0,361.0,360.0,0.0,SURABAYA,0.0,0.0
15,4,0,281.0,281.0,309.0,309.0,0.0,SURABAYA,0.0,0.0
15,7,1,338.0,338.0,340.0,340.0,0.0,BENOA,0.0,0.0
15,8,2,363.0,363.0,365.0,365.0,0.0,BIMA,0.0,0.0
15,14,3,373.0,373.0,375.0,375.0,0.0,LABUAN BAJO,0.0,0.0
15,15,4,395.0,395.0,400.0,400.0,0.0,MAKASSAR,0.0,0.0
15,36,5,423.0,423.0,425.0,425.0,0.0,BAUBAU,0.0,0.0
15,1,6,434.0,434.0,436.0,436.0,0.0,WANCI,0.0,0.0
15,67,7,460.0,460.0,462.0,462.0,0.0,NAMROLE,0.0,0.0
15,37,8,473.0,473.0,477.0,477.0,0.0,AMBON,0.0,0.0
15,68,9,510.0,510.0,512.0,512.0,0.0,SAUMLAKI,0.0,0.0
16,22,0,173.0,173.0,189.0,189.0,0.0,TANJUNG PRIOK,0.0,0.0
16,60,1,222.0,222.0,225.0,225.0,0.0,BATAM,0.0,0.0
16,62,2,249.0,249.0,258.0,258.0,0.0,BELAWAN,0.0,0.0
16,60,3,284.0,284.0,287.0,287.0,0.0,BATAM,0.0,0.0
16,22,4,320.0,320.0,328.0,328.0,0.0,TANJUNG PRIOK,0.0,0.0
16,4,5,353.0,353.0,356.0,356.0,0.0,SURABAYA,0.0,0.0
16,15,6,386.0,386.0,390.0,390.0,0.0,MAKASSAR,0.0,0.0
16,36,7,405.0,405.0,408.0,408.0,0.0,BAUBAU,0.0,0.0
16,43,8,433.0,433.0,435.0,435.0,0.0,NAMLEA,0.0,0.0
16,37,9,440.0,440.0,444.0,444.0,0.0,AMBON,0.0,0.0
17,37,0,36.0,36.0,64.0,64.0,0.0,AMBON,0.0,0.0
17,49,1,78.0,78.0,88.0,88.0,0.0,BANDA,0.0,0.0
17,37,2,102.0,102.0,116.0,116.0,0.0,AMBON,0.0,0.0
17,67,3,126.0,126.0,128.0,128.0,0.0,NAMROLE,0.0,0.0
17,37,4,138.0,138.0,168.0,168.0,0.0,AMBON,0.0,0.0
17,49,5,182.0,182.0,184.0,184.0,0.0,BANDA,0.0,0.0
17,68,6,211.0,211.0,216.0,216.0,0.0,SAUMLAKI,0.0,0.0
17,49,7,245.0,245.0,247.0,247.0,0.0,BANDA,0.0,0.0
17,37,8,261.0,261.0,281.0,281.0,0.0,AMBON,0.0,0.0
17,49,9,295.0,295.0,297.0,297.0,0.0,BANDA,0.0,0.0
18,51,0,161.0,161.0,208.0,208.0,0.0,BITUNG,0.0,0.0
18,52,1,230.0,230.0,233.0,233.0,0.0,TERNATE,0.0,0.0
18,73,2,246.0,246.0,248.0,248.0,0.0,BACAN,0.0,0.0
18,74,3,270.0,270.0,272.0,272.0,0.0,SANANA,0.0,0.0
18,43,4,286.0,286.0,287.0,287.0,0.0,NAMLEA,0.0,0.0
