job_id,voyage,first_arrival_hour,last_completion_hour,due_window_hours,due_hour_absolute,tardiness_hours,lateness_hours,earliness_hours,debug_status
4,2,355.0,629.0,336.0,691.0,0.0,-62.0,62.0,ON_TIME
4,3,653.0,987.0,336.0,989.0,0.0,-2.0,2.0,ON_TIME
4,4,984.0,1303.0,336.0,1320.0,0.0,-17.0,17.0,ON_TIME
4,5,1319.0,1629.0,336.0,1655.0,0.0,-26.0,26.0,ON_TIME
4,9,2985.0,3315.0,336.0,3321.0,0.0,-6.0,6.0,ON_TIME
4,10,3331.0,3649.0,336.0,3667.0,0.0,-18.0,18.0,ON_TIME
4,11,3667.0,3984.0,336.0,4003.0,0.0,-19.0,19.0,ON_TIME
4,12,4003.0,4322.0,336.0,4339.0,0.0,-17.0,17.0,ON_TIME
4,13,4339.0,4664.0,336.0,4675.0,0.0,-11.0,11.0,ON_TIME
4,14,4684.0,4924.0,336.0,5020.0,0.0,-96.0,96.0,ON_TIME
4,15,4924.0,5147.0,336.0,5260.0,0.0,-113.0,113.0,ON_TIME
4,17,5976.0,6293.0,336.0,6312.0,0.0,-19.0,19.0,ON_TIME
4,18,6319.0,6646.0,336.0,6655.0,0.0,-9.0,9.0,ON_TIME
4,19,6667.0,6982.0,336.0,7003.0,0.0,-21.0,21.0,ON_TIME
4,20,7003.0,7322.0,336.0,7339.0,0.0,-17.0,17.0,ON_TIME
4,21,7339.0,7655.0,336.0,7675.0,0.0,-20.0,20.0,ON_TIME
4,22,7676.0,7912.0,336.0,8012.0,0.0,-100.0,100.0,ON_TIME
4,23,7928.0,8183.0,336.0,8264.0,0.0,-81.0,81.0,ON_TIME
5,3,1692.0,2099.0,672.0,2364.0,0.0,-265.0,265.0,ON_TIME
5,4,2126.0,2766.0,672.0,2798.0,0.0,-32.0,32.0,ON_TIME
5,5,2793.0,3443.0,672.0,3465.0,0.0,-22.0,22.0,ON_TIME
5,6,3485.0,3843.0,672.0,4157.0,0.0,-314.0,314.0,ON_TIME
5,8,5317.0,5984.0,672.0,5989.0,0.0,-5.0,5.0,ON_TIME
5,9,5987.0,6635.0,672.0,6659.0,0.0,-24.0,24.0,ON_TIME
5,10,6662.0,7273.0,672.0,7334.0,0.0,-61.0,61.0,ON_TIME
5,11,7302.0,7940.0,672.0,7974.0,0.0,-34.0,34.0,ON_TIME
5,12,7963.0,8344.0,672.0,8635.0,0.0,-291.0,291.0,ON_TIME
6,1,173.0,292.0,336.0,509.0,0.0,-217.0,217.0,ON_TIME
6,2,320.0,614.0,336.0,656.0,0.0,-42.0,42.0,ON_TIME
6,3,640.0,891.0,336.0,976.0,0.0,-85.0,85.0,ON_TIME
6,5,1969.0,2089.0,336.0,2305.0,0.0,-216.0,216.0,ON_TIME
6,6,2119.0,2447.0,336.0,2455.0,0.0,-8.0,8.0,ON_TIME
6,8,2866.0,3194.0,336.0,3202.0,0.0,-8.0,8.0,ON_TIME
6,9,3219.0,3527.0,336.0,3555.0,0.0,-28.0,28.0,ON_TIME
6,10,3552.0,3858.0,336.0,3888.0,0.0,-30.0,30.0,ON_TIME
6,11,3883.0,4181.0,336.0,4219.0,0.0,-38.0,38.0,ON_TIME
6,12,4205.0,4524.0,336.0,4541.0,0.0,-17.0,17.0,ON_TIME
6,13,4550.0,4858.0,336.0,4886.0,0.0,-28.0,28.0,ON_TIME
6,14,4876.0,5188.0,336.0,5212.0,0.0,-24.0,24.0,ON_TIME
6,15,5208.0,5532.0,336.0,5544.0,0.0,-12.0,12.0,ON_TIME
6,18,6236.0,6540.0,336.0,6572.0,0.0,-32.0,32.0,ON_TIME
6,19,6556.0,6885.0,336.0,6892.0,0.0,-7.0,7.0,ON_TIME
6,20,6908.0,7202.0,336.0,7244.0,0.0,-42.0,42.0,ON_TIME
6,21,7228.0,7549.0,336.0,7564.0,0.0,-15.0,15.0,ON_TIME
6,22,7564.0,7893.0,336.0,7900.0,0.0,-7.0,7.0,ON_TIME
6,24,8304.0,8501.0,336.0,8640.0,0.0,-139.0,139.0,ON_TIME
7,1,36.0,358.0,336.0,372.0,0.0,-14.0,14.0,ON_TIME
7,2,372.0,697.0,336.0,708.0,0.0,-11.0,11.0,ON_TIME
7,3,708.0,1030.0,336.0,1044.0,0.0,-14.0,14.0,ON_TIME
7,4,1044.0,1366.0,336.0,1380.0,0.0,-14.0,14.0,ON_TIME
7,5,1380.0,1678.0,336.0,1716.0,0.0,-38.0,38.0,ON_TIME
7,7,2076.0,2376.0,336.0,2412.0,0.0,-36.0,36.0,ON_TIME
7,8,2388.0,2711.0,336.0,2724.0,0.0,-13.0,13.0,ON_TIME
7,9,2724.0,3047.0,336.0,3060.0,0.0,-13.0,13.0,ON_TIME
7,10,3060.0,3382.0,336.0,3396.0,0.0,-14.0,14.0,ON_TIME
7,11,3396.0,3720.0,336.0,3732.0,0.0,-12.0,12.0,ON_TIME
7,12,3732.0,4057.0,336.0,4068.0,0.0,-11.0,11.0,ON_TIME
7,13,4071.0,4393.0,336.0,4407.0,0.0,-14.0,14.0,ON_TIME
7,14,4407.0,4730.0,336.0,4743.0,0.0,-13.0,13.0,ON_TIME
7,15,4750.0,5071.0,336.0,5086.0,0.0,-15.0,15.0,ON_TIME
7,16,5086.0,5407.0,336.0,5422.0,0.0,-15.0,15.0,ON_TIME
7,17,5422.0,5743.0,336.0,5758.0,0.0,-15.0,15.0,ON_TIME
7,19,6145.0,6473.0,336.0,6481.0,0.0,-8.0,8.0,ON_TIME
7,21,7804.0,8097.0,336.0,8140.0,0.0,-43.0,43.0,ON_TIME
7,22,8110.0,8427.0,336.0,8446.0,0.0,-19.0,19.0,ON_TIME
8,1,161.0,482.0,336.0,497.0,0.0,-15.0,15.0,ON_TIME
8,2,497.0,819.0,336.0,833.0,0.0,-14.0,14.0,ON_TIME
8,3,833.0,1152.0,336.0,1169.0,0.0,-17.0,17.0,ON_TIME
8,4,1169.0,1486.0,336.0,1505.0,0.0,-19.0,19.0,ON_TIME
8,5,1505.0,1749.0,336.0,1841.0,0.0,-92.0,92.0,ON_TIME
8,7,2129.0,2445.0,336.0,2465.0,0.0,-20.0,20.0,ON_TIME
8,8,2465.0,2782.0,336.0,2801.0,0.0,-19.0,19.0,ON_TIME
8,9,2801.0,3094.0,336.0,3137.0,0.0,-43.0,43.0,ON_TIME
8,10,3113.0,3384.0,336.0,3449.0,0.0,-65.0,65.0,ON_TIME
8,12,4329.0,4617.0,336.0,4665.0,0.0,-48.0,48.0,ON_TIME
8,13,4596.0,4825.0,336.0,4932.0,0.0,-107.0,107.0,ON_TIME
8,14,4840.0,5054.0,336.0,5176.0,0.0,-122.0,122.0,ON_TIME
8,15,5071.0,5259.0,336.0,5407.0,0.0,-148.0,148.0,ON_TIME
8,16,5278.0,5542.0,336.0,5614.0,0.0,-72.0,72.0,ON_TIME
8,17,5561.0,5860.0,336.0,5897.0,0.0,-37.0,37.0,ON_TIME
8,18,5873.0,6191.0,336.0,6209.0,0.0,-18.0,18.0,ON_TIME
